date,region,confirmed,death,released
20200323,Incheon,40,0,8
20200323,Gwangju,19,0,10
20200323,Daejeon,24,0,6
20200323,Ulsan,36,0,17
20200323,Sejong,42,0,3
20200323,Gyeonggi,351,3,88
20200323,Gangwon,30,1,14
20200323,Chungbuk,37,0,9
20200323,Chungnam,120,0,44
20200323,Jeonbuk,10,0,7
20200323,Jeonnam,6,0,3
20200323,Gyeongbuk,1256,24,469
20200323,Gyeongnam,89,0,45
20200323,Jeju,4,0,3
20200323,Quarantine,47,0,0
20200324,Seoul,334,0,72
20200324,Busan,111,1,71
20200324,Daegu,6442,88,2571
20200324,Incheon,41,0,8
20200324,Gwangju,19,0,11
20200324,Daejeon,24,0,6
20200324,Ulsan,36,0,18
20200324,Sejong,42,0,3
20200324,Gyeonggi,366,4,97
20200324,Gangwon,30,1,14
20200324,Chungbuk,38,0,11
20200324,Chungnam,120,0,56
20200324,Jeonbuk,10,0,7
20200324,Jeonnam,6,0,3
20200324,Gyeongbuk,1257,26,507
20200324,Gyeongnam,90,0,48
20200324,Jeju,4,0,4
20200324,Quarantine,67,0,0
20200325,Seoul,347,0,72
20200325,Busan,112,1,73
20200325,Daegu,6456,92,2740
20200325,Incheon,42,0,10
20200325,Gwangju,19,0,11
20200325,Daejeon,24,0,6
20200325,Ulsan,37,0,19
20200325,Sejong,44,0,3
20200325,Gyeonggi,387,4,100
20200325,Gangwon,31,1,15
20200325,Chungbuk,38,0,13
20200325,Chungnam,123,0,65
20200325,Jeonbuk,10,0,7
20200325,Jeonnam,8,0,3
20200325,Gyeongbuk,1262,28,538
20200325,Gyeongnam,90,0,51
20200325,Jeju,6,0,4
20200325,Quarantine,101,0,0
20200326,Seoul,360,0,80
20200326,Busan,112,2,75
20200326,Daegu,6482,94,3039
20200326,Incheon,43,0,11
20200326,Gwangju,19,0,11
20200326,Daejeon,30,0,6
20200326,Ulsan,37,0,20
20200326,Sejong,44,0,8
20200326,Gyeonggi,401,4,122
20200326,Gangwon,31,1,18
20200326,Chungbuk,39,0,14
20200326,Chungnam,124,0,68
20200326,Jeonbuk,10,0,7
20200326,Jeonnam,8,0,3
20200326,Gyeongbuk,1274,30,601
20200326,Gyeongnam,90,0,57
20200326,Jeju,6,0,4
20200326,Quarantine,131,0,0
20200327,Seoul,372,0,89
20200327,Busan,113,2,81
20200327,Daegu,6516,98,3324
20200327,Incheon,46,0,13
20200327,Gwangju,20,0,11
20200327,Daejeon,31,0,9
20200327,Ulsan,39,0,20
20200327,Sejong,44,0,9
20200327,Gyeonggi,412,4,131
20200327,Gangwon,31,1,20
20200327,Chungbuk,41,0,17
20200327,Chungnam,124,0,78
20200327,Jeonbuk,10,0,7
20200327,Jeonnam,8,0,3
20200327,Gyeongbuk,1283,34,650
20200327,Gyeongnam,91,0,62
20200327,Jeju,7,0,4
20200327,Quarantine,144,0,0
20200328,Seoul,390,0,93
20200328,Busan,114,2,81
20200328,Daegu,6587,101,3543
20200328,Incheon,51,0,14
20200328,Gwangju,20,0,11
20200328,Daejeon,31,0,10
20200328,Ulsan,39,0,19
20200328,Sejong,44,0,9
20200328,Gyeonggi,433,5,140
20200328,Gangwon,32,1,20
20200328,Chungbuk,41,0,21
20200328,Chungnam,126,0,81
20200328,Jeonbuk,10,0,7
20200328,Jeonnam,8,0,3
20200328,Gyeongbuk,1285,35,692
20200328,Gyeongnam,91,0,63
20200328,Jeju,8,0,4
20200328,Quarantine,168,0,0
20200329,Seoul,410,0,93
20200329,Busan,117,3,85
20200329,Daegu,6610,106,3706
20200329,Incheon,58,0,15
20200329,Gwangju,20,0,11
20200329,Daejeon,34,0,14
20200329,Ulsan,39,0,19
20200329,Sejong,46,0,11
20200329,Gyeonggi,448,5,144
20200329,Gangwon,34,1,21
20200329,Chungbuk,41,0,21
20200329,Chungnam,127,0,83
20200329,Jeonbuk,12,0,7
20200329,Jeonnam,9,0,3
20200329,Gyeongbuk,1287,37,732
20200329,Gyeongnam,94,0,64
20200329,Jeju,8,0,4
20200329,Quarantine,189,0,0
20200330,Seoul,426,0,92
20200330,Busan,118,3,87
20200330,Daegu,6624,111,3837
20200330,Incheon,58,0,15
20200330,Gwangju,20,0,13
20200330,Daejeon,34,0,17
20200330,Ulsan,39,0,19
20200330,Sejong,46,0,12
20200330,Gyeonggi,463,5,160
20200330,Gangwon,36,1,21
20200330,Chungbuk,44,0,21
20200330,Chungnam,127,0,83
20200330,Jeonbuk,13,0,7
20200330,Jeonnam,9,0,3
20200330,Gyeongbuk,1298,38,772
20200330,Gyeongnam,95,0,65
20200330,Jeju,9,0,4
20200330,Quarantine,202,0,0
20200331,Seoul,450,0,107
20200331,Busan,119,3,87
20200331,Daegu,6684,114,3946
20200331,Incheon,64,0,16
20200331,Gwangju,20,0,14
20200331,Daejeon,36,0,18
20200331,Ulsan,39,0,19
20200331,Sejong,46,0,12
20200331,Gyeonggi,476,6,166
20200331,Gangwon,36,1,23
20200331,Chungbuk,44,0,22
20200331,Chungnam,128,0,90
20200331,Jeonbuk,13,0,7
20200331,Jeonnam,9,0,3
20200331,Gyeongbuk,1300,38,808
20200331,Gyeongnam,96,0,67
20200331,Jeju,9,0,3
20200331,Quarantine,217,0,0
20200401,Seoul,474,0,117
20200401,Busan,122,3,87
20200401,Daegu,6704,115,4070
20200401,Incheon,69,0,19
20200401,Gwangju,24,0,14
20200401,Daejeon,36,0,18
20200401,Ulsan,39,1,20
20200401,Sejong,46,0,12
20200401,Gyeonggi,498,6,171
20200401,Gangwon,38,1,23
20200401,Chungbuk,44,0,23
20200401,Chungnam,131,0,91
20200401,Jeonbuk,14,0,7
20200401,Jeonnam,12,0,3
20200401,Gyeongbuk,1302,39,822
20200401,Gyeongnam,100,0,67
20200401,Jeju,9,0,3
20200401,Quarantine,225,0,0
20200402,Seoul,488,0,117
20200402,Busan,122,3,87
20200402,Daegu,6725,117,4070
20200402,Incheon,73,0,19
20200402,Gwangju,25,0,14
20200402,Daejeon,36,0,18
20200402,Ulsan,40,1,20
20200402,Sejong,46,0,12
20200402,Gyeonggi,516,6,171
20200402,Gangwon,39,1,23
20200402,Chungbuk,44,0,23
20200402,Chungnam,133,0,91
20200402,Jeonbuk,14,0,7
20200402,Jeonnam,14,0,3
20200402,Gyeongbuk,1304,41,822
20200402,Gyeongnam,106,0,67
20200402,Jeju,9,0,3
20200402,Quarantine,242,0,0
20200403,Seoul,506,0,131
20200403,Busan,122,3,88
20200403,Daegu,6734,121,4434
20200403,Incheon,74,0,21
20200403,Gwangju,26,0,15
20200403,Daejeon,36,0,18
20200403,Ulsan,40,1,21
20200403,Sejong,46,0,12
20200403,Gyeonggi,539,6,186
20200403,Gangwon,41,1,23
20200403,Chungbuk,45,0,25
20200403,Chungnam,134,0,97
20200403,Jeonbuk,15,0,7
20200403,Jeonnam,15,0,3
20200403,Gyeongbuk,1309,42,865
20200403,Gyeongnam,107,0,71
20200403,Jeju,9,0,3
20200403,Quarantine,264,0,1
20200404,Seoul,528,0,144
20200404,Busan,122,3,90
20200404,Daegu,6761,122,4673
20200404,Incheon,77,0,22
20200404,Gwangju,26,0,15
20200404,Daejeon,36,0,18
20200404,Ulsan,40,1,24
20200404,Sejong,46,0,15
